symbol,indices,avg_volume,sector
360ONE,nifty_midcap150,1417503,Other
AADHARHFC,nifty_smallcap250,415859,Other
AARTIIND,nifty_smallcap250,1851601,Other
AAVAS,nifty_smallcap250,141962,Other
ABB,"nifty_energy,nifty_next50",444013,Energy
ABCAPITAL,nifty_midcap150,5253580,Other
ABDL,nifty_smallcap250,424115,Other
ABFRL,nifty_smallcap250,6294468,Other
ABLBL,nifty_smallcap250,2174514,Other
ABREL,"nifty_realty,nifty_smallcap250",248176,Realty
ABSLAMC,nifty_smallcap250,601558,Other
ACC,nifty_midcap150,252114,Other
ACE,nifty_smallcap250,528815,Other
ACMESOLAR,nifty_smallcap250,2348414,Other
ACUTAAS,nifty_smallcap250,652006,Other
ADANIENSOL,"nifty_energy,nifty_next50",4151234,Energy
ADANIENT,"nifty50,nifty_metal",2861277,Conglomerate
ADANIGREEN,"nifty_energy,nifty_infra,nifty_next50",4912420,Energy
ADANIPORTS,"nifty50,nifty_infra",4156212,Infra
ADANIPOWER,"nifty_energy,nifty_next50",64401084,Energy
AEGISLOG,"nifty_energy,nifty_smallcap250",1045051,Energy
AEGISVOPAK,nifty_smallcap250,966187,Other
AFCONS,nifty_smallcap250,3095728,Other
AFFLE,nifty_smallcap250,304321,Other
AIIL,nifty_midcap150,327891,Other
AJANTPHARM,"nifty_midcap150,nifty_pharma",120151,Pharma
ALKEM,"nifty_midcap150,nifty_pharma",131702,Pharma
AMBER,nifty_smallcap250,329609,Other
AMBUJACEM,"nifty_infra,nifty_next50",3562236,Infra
ANANDRATHI,nifty_smallcap250,250401,Other
ANANTRAJ,"nifty_realty,nifty_smallcap250",3119966,Realty
ANGELONE,nifty_smallcap250,12520276,Other
ANTHEM,nifty_midcap150,290840,Other
ANURAS,nifty_smallcap250,349950,Other
APARINDS,nifty_midcap150,139136,Other
APLAPOLLO,"nifty_metal,nifty_midcap150",910194,Metals
APOLLOHOSP,"nifty50,nifty_infra",395210,Healthcare
APOLLOTYRE,nifty_midcap150,1050712,Other
APTUS,nifty_smallcap250,2824371,Other
ARE&M,nifty_smallcap250,3535311,Other
ASAHIINDIA,nifty_smallcap250,145865,Other
ASHOKLEY,"nifty_auto,nifty_infra,nifty_midcap150",19168256,Auto
ASIANPAINT,nifty50,1110367,Consumer
ASTERDM,nifty_smallcap250,1208370,Other
ASTRAL,nifty_midcap150,807596,Other
ATGL,"nifty_energy,nifty_midcap150",3985975,Energy
ATHERENERG,nifty_smallcap250,7284480,Other
AUBANK,"nifty_bank,nifty_midcap150",2411425,Banking
AUROPHARMA,"nifty_midcap150,nifty_pharma",1374317,Pharma
AWL,nifty_midcap150,4182336,Other
AXISBANK,"nifty50,nifty_bank",7881008,Banking
BAJAJ-AUTO,"nifty50,nifty_auto",495398,Auto
BAJAJFINSV,nifty50,1187422,Finance
BAJAJHFL,nifty_midcap150,6254234,Other
BAJFINANCE,nifty50,9406979,Finance
BALKRISIND,nifty_midcap150,143211,Other
BALRAMCHIN,nifty_smallcap250,1164270,Other
BANDHANBNK,nifty_smallcap250,18544282,Other
BANKBARODA,"nifty_bank,nifty_next50,nifty_psu_bank",10113744,Banking
BANKINDIA,"nifty_midcap150,nifty_psu_bank",11200570,PSU Bank
BATAINDIA,nifty_smallcap250,145697,Other
BDL,nifty_midcap150,1376807,Other
BEL,nifty50,12884464,Defence
BELRISE,nifty_smallcap250,4200623,Other
BEML,nifty_smallcap250,464351,Other
BERGEPAINT,nifty_midcap150,297516,Other
BHARATFORG,"nifty_auto,nifty_infra,nifty_midcap150",1619242,Auto
BHARTIARTL,"nifty50,nifty_infra",9135114,Telecom
BHARTIHEXA,nifty_midcap150,193060,Other
BHEL,"nifty_energy,nifty_midcap150",28413364,Energy
BIKAJI,nifty_smallcap250,169792,Other
BIOCON,"nifty_midcap150,nifty_pharma",3131145,Pharma
BLS,nifty_smallcap250,1204043,Other
BLUEJET,nifty_smallcap250,530591,Other
BLUESTARCO,nifty_midcap150,726173,Other
BPCL,"nifty_energy,nifty_infra,nifty_next50",12986657,Energy
BRIGADE,"nifty_realty,nifty_smallcap250",489550,Realty
BRITANNIA,"nifty_fmcg,nifty_next50",565406,FMCG
BSE,nifty_midcap150,3889222,Other
